"Tariff name","Old rate","New rate","Change","Change text",""
"1504101000 - Of a vitamin A content not exceeding 2 500 International Units per gram","160","170","10","rate increased",""
"1504201000 - Solid fractions","160","170","10","rate increased",""
"1504301000 - Solid fractions","160","170","10","rate increased",""
"1505001000 - Wool grease, crude","160","170","10","rate increased",""
"1507101000 - For technical or industrial uses other than the manufacture of foodstuffs for human consumption","160","170","10","rate increased",""
"1507901000 - For technical or industrial uses other than the manufacture of foodstuffs for human consumption","160","170","10","rate increased",""
"1508101000 - For technical or industrial uses other than the manufacture of foodstuffs for human consumption","160","170","10","rate increased",""
"1508901000 - For technical or industrial uses other than the manufacture of foodstuffs for human consumption","160","170","10","rate increased",""
"1509101000 - Lampante olive oil","160","170","10","rate increased",""
"1510001000 - Crude oils","160","170","10","rate increased",""
"1511101000 - For technical or industrial uses other than the manufacture of foodstuffs for human consumption","160","170","10","rate increased",""
"1515301000 - For the production of aminoundecanoic acid for use in the manufacture of synthetic textile fibres or of artificial plastic materials","160","170","10","rate increased",""
"1516101000 - In immediate packings of a net content not exceeding 1 kg","160","170","10","rate increased",""
"1516201000 - Hydrogenated castor oil, so called 'opal-wax'","160","170","10","rate increased",""
"1517101000 - Containing, by weight, more than 10 % but not more than 15 % of milkfats","160","170","10","rate increased",""
"1517901000 - Containing, by weight, more than 10 % but not more than 15 % of milkfats","160","170","10","rate increased",""
"1518001000 - Linoxyn","160","170","10","rate increased",""
"1521901000 - Spermaceti, whether or not refined or coloured","160","170","10","rate increased",""
"1522001000 - Degras","160","170","10","rate increased",""
"1601000000 - Sausages and similar products, of meat, meat offal or blood; food preparations based on these products","160","170","10","rate increased",""
"1601001000 - Of liver","160","170","10","rate increased",""
"1601001011 - Of animals of headings 0101 to 0104, excluding wild boars","160","170","10","rate increased",""
"1601001011 - Sausages","160","170","10","rate increased",""
"1601001011 - Waxed sausages of chicken, pork and fresh liver","160","170","10","rate increased",""
"1601001015 - Other","160","170","10","rate increased",""
"1601001019 - Other","160","170","10","rate increased",""
"1601001091 - Other","160","170","10","rate increased",""
"1601001091 - Sausages","160","170","10","rate increased",""
"1601001091 - Waxed sausages of chicken, pork and fresh liver","160","170","10","rate increased",""
"1601001095 - Other","160","170","10","rate increased",""
"1601001099 - Other","160","170","10","rate increased",""
"1601009100 - Other","160","170","10","rate increased",""
"1601009100 - Sausages, dry or for spreading, uncooked","160","170","10","rate increased",""
"1601009105 - Waxed sausages of chicken, pork and fresh liver","160","170","10","rate increased",""
"1601009110 - Of animals of headings 0101 to 0104, excluding wild boars","160","170","10","rate increased",""
"1601009110 - Other","160","170","10","rate increased",""
"1601009190 - Other","160","170","10","rate increased",""
"1601009900 - Other","160","170","10","rate increased",""
"1601009911 - Of animals of headings 0101 to 0104, excluding wild boars","160","170","10","rate increased",""
"1601009911 - Sausages","160","170","10","rate increased",""
"1601009919 - Other","160","170","10","rate increased",""
"1601009991 - Other","160","170","10","rate increased",""
"1601009991 - Sausages","160","170","10","rate increased",""
"1601009999 - Other","160","170","10","rate increased",""
"1602201000 - Goose or duck liver","160","170","10","rate increased",""
"1602501000 - Uncooked; mixtures of cooked meat or offal and uncooked meat or offal","160","170","10","rate increased",""
"1602901000 - Preparations of blood of any animal","160","170","10","rate increased",""
"1603001000 - In immediate packings of a net content of 1 kg or less","160","170","10","rate increased",""
"1604201000 - Of salmon","160","170","10","rate increased",""
"1604201000 - Other","160","170","10","rate increased",""
"1604201005 - Curry fish balls made of fish meat, curry, wheat starch, salt, sugar, and compound condiments; Four colour rolls made of fish meat, crab stick, seaweed, beancurd skin, vegetable oil, sugar, salt, potato starch, monosodium glutamate and seasonings","160","170","10","rate increased",""
"1605301000 - Lobster meat, cooked, for the manufacture of lobster butter or of lobster pastes, pâtés, soups or sauces","160","170","10","rate increased",""
"1701000000 - Cane or beet sugar and chemically pure sucrose, in solid form","160","170","10","rate increased",""
"1702201000 - Maple sugar in solid form, containing added flavouring or colouring matter","160","170","10","rate increased",""
"1702301000 - Isoglucose","160","170","10","rate increased",""
"1702401000 - Isoglucose","160","170","10","rate increased",""
"1702601000 - Isoglucose","160","170","10","rate increased",""
"1702901000 - Chemically pure maltose","160","170","10","rate increased",""
"1704101000 - Containing less than 60 % by weight of sucrose (including invert sugar expressed as sucrose)","160","170","10","rate increased",""
"1704901000 - Liquorice extract containing more than 10 % by weight of sucrose but not containing other added substances","160","170","10","rate increased",""
"1801000000 - Cocoa beans, whole or broken, raw or roasted","160","170","10","rate increased",""
"1806201000 - Containing 31 % or more by weight of cocoa butter or containing a combined weight of 31 % or more of cocoa butter and milkfat","160","170","10","rate increased",""
"1901000000 - Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40 % by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of headings 0401 to 0404, not containing cocoa or containing less than 5 % by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included","160","170","10","rate increased",""
"1902201000 - Containing more than 20 % by weight of fish, crustaceans, molluscs or other aquatic invertebrates","160","170","10","rate increased",""
"1902301000 - Dried","160","170","10","rate increased",""
"1902401000 - Unprepared","160","170","10","rate increased",""
"1904101000 - Obtained from maize","160","170","10","rate increased",""
"1904201000 - Preparation of the Müsli type based on unroasted cereal flakes","160","170","10","rate increased",""
"1904901000 - Obtained from rice","160","170","10","rate increased",""
"1905201000 - Containing by weight less than 30 % of sucrose (including invert sugar expressed as sucrose)","160","170","10","rate increased",""
"1905401000 - Rusks","160","170","10","rate increased",""
"1905901000 - Matzos","160","170","10","rate increased",""
"2001000000 - Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid","160","170","10","rate increased",""
"2001901000 - Mango chutney","160","170","10","rate increased",""
"2002101000 - Peeled","160","170","10","rate increased",""
"2003901000 - Truffles","160","170","10","rate increased",""
"2004101000 - Cooked, not otherwise prepared","160","170","10","rate increased",""
"2004901000 - Sweetcorn (Zea mays var. saccharata)","160","170","10","rate increased",""
"2005201000 - In the form of flour, meal or flakes","160","170","10","rate increased",""
"2006001000 - Ginger","160","170","10","rate increased",""
"2007101000 - With a sugar content exceeding 13 % by weight","160","170","10","rate increased",""
"2009501000 - Containing added sugar","160","170","10","rate increased",""
"2101000000 - Extracts, essences and concentrates, of coffee, tea or maté and preparations with a basis of these products or with a basis of coffee, tea or maté; roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof","160","170","10","rate increased",""
"2102101000 - Culture yeast","160","170","10","rate increased",""
"2103301000 - Mustard flour and meal","160","170","10","rate increased",""
"2103901000 - Mango chutney, liquid","160","170","10","rate increased",""
"2105001000 - Containing no milkfats or containing less than 3 % by weight of such fats","160","170","10","rate increased",""
"2201000000 - Waters, including natural or artificial mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavoured; ice and snow","160","170","10","rate increased",""
"2203000100 - In bottles","160","170","10","rate increased",""
"2203000100 - In containers holding 10 litres or less","160","170","10","rate increased",""
"2203001000 - In containers holding more than 10 litres","160","170","10","rate increased",""
"2204301000 - In fermentation or with fermentation arrested otherwise than by the addition of alcohol","160","170","10","rate increased",""
"2205101000 - Of an actual alcoholic strength by volume of 18 % vol or less","160","170","10","rate increased",""
"2205901000 - Of an actual alcoholic strength by volume of 18 % vol or less","160","170","10","rate increased",""
"2206001000 - Piquette","160","170","10","rate increased",""
"2208701000 - In containers holding 2 litres or less","160","170","10","rate increased",""
"2301000000 - Flours, meals and pellets, of meat or meat offal, of fish or of crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption; greaves","160","170","10","rate increased",""
"2302101000 - With a starch content not exceeding 35 % by weight","160","170","10","rate increased",""
"2302301000 - Of which the starch content does not exceed 28 % by weight, and of which the proportion that passes through a sieve with an aperture of 0,2 mm does not exceed 10 % by weight or alternatively the proportion that passes through the sieve has an ash content, calculated on the dry product, equal to or more than 1,5 % by weight","160","170","10","rate increased",""
"2302401000 - Of which the starch content does not exceed 28 % by weight, and of which the proportion that passes through a sieve with an aperture of 0,2 mm does not exceed 10 % by weight or alternatively the proportion that passes through the sieve has an ash content, calculated on the dry product, equal to or more than 1,5 % by weight","160","170","10","rate increased",""
"2302401000 - Other","160","170","10","rate increased",""
"2303201000 - Beet-pulp","160","170","10","rate increased",""
"2309901000 - Fish or marine mammal solubles","160","170","10","rate increased",""
"2401000000 - Unmanufactured tobacco; tobacco refuse","160","170","10","rate increased",""
"2402201000 - Containing cloves","160","170","10","rate increased",""
"2501000000 - Salt (including table salt and denatured salt) and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents; sea water","160","170","10","rate increased",""
"2501001000 - Sea water and salt liquors","160","170","10","rate increased",""
"2501003100 - For chemical transformation (separation of Na from Cl) for the manufacture of other products","160","170","10","rate increased",""
"2501003100 - Salt (including table salt and denatured salt) and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents","160","170","10","rate increased",""
"2501005100 - Denatured or for industrial uses (including refining) other than the preservation or preparation of foodstuffs for human or animal consumption","160","170","10","rate increased",""
"2501005100 - Other","160","170","10","rate increased",""
"2501005110 - Denatured","160","170","10","rate increased",""
"2501005190 - For industrial uses (including refining) other than the preservation or preparation of foodstuffs for human or animal consumption","160","170","10","rate increased",""
"2501009100 - Other","160","170","10","rate increased",""
"2501009100 - Salt suitable for human consumption","160","170","10","rate increased",""
"2501009900 - Other","160","170","10","rate increased",""
"2503001000 - Crude or unrefined sulphur","160","170","10","rate increased",""
"2510100000 - Unground","160","170","10","rate increased",""
"2517101000 - Pebbles, gravel, shingle and flint","160","170","10","rate increased",""
"2519901000 - Magnesium oxide, other than calcined natural magnesium carbonate","160","170","10","rate increased",""
"2520100000 - Gypsum; anhydrite","160","170","10","rate increased",""
"2530100000 - Vermiculite, perlite and chlorites, unexpanded","160","170","10","rate increased",""
"2601000000 - Iron ores and concentrates, including roasted iron pyrites","160","170","10","rate increased",""
"2612101000 - Uranium ores and pitchblende, and concentrates thereof, with a uranium content of more than 5 % by weight","160","170","10","rate increased",""
"2612201000 - Monazite; urano-thorianite and other thorium ores and concentrates, with a thorium content of more than 20 % by weight","160","170","10","rate increased",""
"2701000000 - Coal; briquettes, ovoids and similar solid fuels manufactured from coal","160","170","10","rate increased",""
"2704001000 - Coke and semi-coke of coal","160","170","10","rate increased",""
"2709001000 - Natural gas condensates","160","170","10","rate increased",""
"2712101000 - Crude","160","170","10","rate increased",""
"2712201000 - Synthetic paraffin wax of a molecular weight of 460 or more but not exceeding 1 560","160","170","10","rate increased",""
"2713901000 - For the manufacture of the products of heading 2803","160","170","10","rate increased",""
"2801000000 - Fluorine, chlorine, bromine and iodine","160","170","10","rate increased",""
"2801000000 - I. CHEMICAL ELEMENTS","160","170","10","rate increased",""
"2801301000 - Fluorine","160","170","10","rate increased",""
"2804501000 - Boron","160","170","10","rate increased",""
"2805301000 - Intermixtures or interalloys","160","170","10","rate increased",""
"2805401000 - In flasks of a net content of 34,5 kg (standard weight), of a fob value, per flask, not exceeding € 224","160","170","10","rate increased",""
"2810001000 - Diboron trioxide","160","170","10","rate increased",""
"2813901000 - Phosphorus sulphides, commercial phosphorus trisulphide","160","170","10","rate increased",""
"2819901000 - Chromium dioxide","160","170","10","rate increased",""
"2820100000 - Manganese dioxide","160","170","10","rate increased",""
"2820901000 - Manganese oxide containing by weight 77 % or more of manganese","160","170","10","rate increased",""
"2826901000 - Dipotassium hexafluorozirconate","160","170","10","rate increased",""
"2829901000 - Perchlorates","160","170","10","rate increased",""
"2830100000 - Sodium sulphides","160","170","10","rate increased",""
"2830100010 - Disodium tetrasulfide, containing by weight 38 % or less of sodium calculated on the dry weight","160","170","10","rate increased",""
"2830100090 - Other","160","170","10","rate increased",""
"2840201000 - Borates of sodium, anhydrous","160","170","10","rate increased",""
"2842901000 - Salts, double salts or complex salts of selenium or tellurium acids","160","170","10","rate increased",""
"2843101000 - Silver","160","170","10","rate increased",""
"2843901000 - Amalgams","160","170","10","rate increased",""
"2844101000 - Crude; waste and scrap","160","170","10","rate increased",""
"2844101000 - Natural uranium","160","170","10","rate increased",""
"2844401000 - Uranium derived from U 233 and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures and compounds derived from U 233 or compounds of this product","160","170","10","rate increased",""
"2845901000 - Deuterium and compounds thereof; hydrogen and compounds thereof, enriched in deuterium; mixtures and solutions containing these products","160","170","10","rate increased",""
"2846901000 - Compounds of lanthanum, praseodymium, neodymium or samarium","160","170","10","rate increased",""
"2849901000 - Of boron","160","170","10","rate increased",""
"2853901000 - Distilled or conductivity water and water of similar purity","160","170","10","rate increased",""
"2901000000 - Acyclic hydrocarbons","160","170","10","rate increased",""
"2901000000 - I. HYDROCARBONS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES","160","170","10","rate increased",""
"2909301000 - Diphenyl ether","160","170","10","rate increased",""
"2910100000 - Oxirane (ethylene oxide)","160","170","10","rate increased",""
"2914401000 - 4-Hydroxy-4-methylpentan-2-one (diacetone alcohol)","160","170","10","rate increased",""
"2920901000 - Sulphuric esters and carbonic esters and their salts, and their halogenated, sulphonated, nitrated or nitrosated derivatives","160","170","10","rate increased",""
"2921301000 - Cyclohexylamine and cyclohexyldimethylamine, and their salts","160","170","10","rate increased",""
"2926907023 - Acrinathrin (ISO) (CAS RN 101007-06-1)","160","170","10","rate increased",""
"2928001000 - N,N-Bis(2-methoxyethyl)hydroxylamine","160","170","10","rate increased",""
"2930401000 - Methionine (INN)","160","170","10","rate increased",""
"2930909896 - 2-Chloro-4-(methylsulphonyl)-3-((2,2,2-trifluoroethoxy)methyl) benzoic acid (CAS RN 120100-77-8)","160","170","10","rate increased",""
"2932201000 - Phenolphthalein; 1-hydroxy-4-[1-(4-hydroxy-3-methoxycarbonyl-1-naphthyl)-3-oxo-1H,3H-benzo[de]isochromen-1-yl]-6-octadecyloxy-2-naphthoic acid; 3′-chloro-6′-cyclohexylaminospiro[isobenzofuran-1(3H),9′-xanthen]-3-one; 6′-(N-ethyl-p-toluidino)-2′-methylspiro[isobenzofuran-1(3H),9′-xanthen]-3-one; methyl-6-docosyloxy-1-hydroxy-4-[1-(4-hydroxy-3-methyl-1-phenanthryl)-3-oxo-1H,3H-naphtho[1,8-cd]pyran-1-yl]naphthalene-2-carboxylate","160","170","10","rate increased",""
"2934301000 - Thiethylperazine (INN); thioridazine (INN) and its salts","160","170","10","rate increased",""
"2938901000 - Digitalis glycosides","160","170","10","rate increased",""
"3001000000 - Glands and other organs for organo-therapeutic uses, dried, whether or not powdered; extracts of glands or other organs or of their secretions for organo-therapeutic uses; heparin and its salts; other human or animal substances prepared for therapeutic or prophylactic uses, not elsewhere specified or included","160","170","10","rate increased",""
"3001201000 - Of human origin","160","170","10","rate increased",""
"3002901000 - Human blood","160","170","10","rate increased",""
"3005901000 - Wadding and articles of wadding","160","170","10","rate increased",""
"3006101000 - Sterile surgical catgut","160","170","10","rate increased",""
"3101000000 - Animal or vegetable fertilisers, whether or not mixed together or chemically treated; fertilisers produced by the mixing or chemical treatment of animal or vegetable products","160","170","10","rate increased",""
"3102101000 - Urea containing more than 45 % by weight of nitrogen on the dry anhydrous product","160","170","10","rate increased",""
"3102301000 - In aqueous solution","160","170","10","rate increased",""
"3102401000 - With a nitrogen content not exceeding 28 % by weight","160","170","10","rate increased",""
"3104201000 - With a potassium content evaluated as K2O, by weight, not exceeding 40 % on the dry anhydrous product","160","170","10","rate increased",""
"3105201000 - With a nitrogen content exceeding 10 % by weight on the dry anhydrous product","160","170","10","rate increased",""
"3201000000 - Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives","160","170","10","rate increased",""
"3203001000 - Colouring matter of vegetable origin and preparations based thereon","160","170","10","rate increased",""
"3207201000 - Engobes (slips)","160","170","10","rate increased",""
"3208101000 - Solutions as defined in note 4 to this chapter","160","170","10","rate increased",""
"3208201000 - Solutions as defined in note 4 to this chapter","160","170","10","rate increased",""
"3210001000 - Oil paints and varnishes (including enamels and lacquers)","160","170","10","rate increased",""
"3214101000 - Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics","160","170","10","rate increased",""
"3301000000 - Essential oils (terpeneless or not), including concretes and absolutes; resinoids; extracted oleoresins; concentrates of essential oils in fats, in fixed oils, in waxes or the like, obtained by enfleurage or maceration; terpenic by-products of the deterpenation of essential oils; aqueous distillates and aqueous solutions of essential oils","160","170","10","rate increased",""
"3301901000 - Terpenic by-products of the deterpenation of essential oils","160","170","10","rate increased",""
"3302101000 - Of a kind used in the drink industries","160","170","10","rate increased",""
"3302101000 - Of an actual alcoholic strength by volume exceeding 0,5 %","160","170","10","rate increased",""
"3302101000 - Preparations containing all flavouring agents characterising a beverage","160","170","10","rate increased",""
"3302901000 - Alcoholic solutions","160","170","10","rate increased",""
"3303001000 - Perfumes","160","170","10","rate increased",""
"3401000000 - Soap; organic surface-active products and preparations for use as soap, in the form of bars, cakes, moulded pieces or shapes, whether or not containing soap; organic surface-active products and preparations for washing the skin, in the form of liquid or cream and put up for retail sale, whether or not containing soap; paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent","160","170","10","rate increased",""
"3401201000 - Flakes, wafers, granules or powders","160","170","10","rate increased",""
"3402901000 - Surface-active preparations","160","170","10","rate increased",""
"3405901000 - Metal polishes","160","170","10","rate increased",""
"3501000000 - Casein, caseinates and other casein derivatives; casein glues","160","170","10","rate increased",""
"3501101000 - For the manufacture of regenerated textile fibres","160","170","10","rate increased",""
"3501901000 - Casein glues","160","170","10","rate increased",""
"3502201000 - Unfit, or to be rendered unfit, for human consumption","160","170","10","rate increased",""
"3503001000 - Gelatin and derivatives thereof","160","170","10","rate increased",""
"3504001000 - Concentrated milk proteins specified in additional note 1 to this chapter","160","170","10","rate increased",""
"3505101000 - Dextrins","160","170","10","rate increased",""
"3505201000 - Containing, by weight, less than 25 % of starches or dextrins or other modified starches","160","170","10","rate increased",""
"3601000000 - Propellent powders","160","170","10","rate increased",""
"3601000010 - Pyrotechnical powder in the form of granulate of cylindrical shape, composed of strontium nitrate or copper nitrate in the solution of nitroguanidine, binder and additives, used as a component of airbag inflators","160","170","10","rate increased",""
"3601000090 - Other","160","170","10","rate increased",""
"3606901000 - Ferro-cerium and other pyrophoric alloys in all forms","160","170","10","rate increased",""
"3701000000 - Photographic plates and film in the flat, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in the flat, sensitised, unexposed, whether or not in packs","160","170","10","rate increased",""
"3704001000 - Plates and film","160","170","10","rate increased",""
"3705001000 - For offset reproduction","160","170","10","rate increased",""
"3801000000 - Artificial graphite; colloidal or semi-colloidal graphite; preparations based on graphite or other carbon in the form of pastes, blocks, plates or other semi-manufactures","160","170","10","rate increased",""
"3801201000 - Colloidal graphite in suspension in oil; semi-colloidal graphite","160","170","10","rate increased",""
"3803001000 - Crude","160","170","10","rate increased",""
"3805101000 - Gum turpentine","160","170","10","rate increased",""
"3805901000 - Pine oil","160","170","10","rate increased",""
"3807001000 - Wood tar","160","170","10","rate increased",""
"3809101000 - Containing by weight less than 55 % of such substances","160","170","10","rate increased",""
"3810100000 - Pickling preparations for metal surfaces; soldering, brazing or welding powders and pastes consisting of metal and other materials","160","170","10","rate increased",""
"3810100010 - Soldering or welding paste, consisting of a mixture of metals and resin containing by weight: - 70 % or more, but not more than 90 % of tin - not more than 10 % of one or more metals of silver, copper, bismuth, zinc, or indiumfor use in the electro technical industry","160","170","10","rate increased",""
"3810100090 - Other","160","170","10","rate increased",""
"3810901000 - Preparations of a kind used as cores or coatings for welding electrodes and rods","160","170","10","rate increased",""
"3812201000 - Reaction mixture containing benzyl 3-isobutyryloxy-1-isopropyl-2,2-dimethylpropyl phthalate and benzyl 3-isobutyryloxy-2,2,4-trimethylpentyl phthalate","160","170","10","rate increased",""
"3814001000 - Based on butyl acetate","160","170","10","rate increased",""
"3815901000 - Catalyst consisting of ethyltriphenylphosphonium acetate in the form of a solution in methanol","160","170","10","rate increased",""
"3818001000 - Doped silicon","160","170","10","rate increased",""
"3824501000 - Concrete ready to pour","160","170","10","rate increased",""
"3825901000 - Alkaline iron oxide for the purification of gas","160","170","10","rate increased",""
"3826001000 - Fatty-acid mono-alkyl esters, containing by weight 96,5 % or more of esters (FAMAE)","160","170","10","rate increased",""
